Mês Ano;Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos
mai/25;26000 - Ministério da Educação;26352 - Fundação Universidade Federal do ABC;33.336.773,71;36.522.461,45;42.818.648,20;2.339.772,24
abr/25;26000 - Ministério da Educação;26352 - Fundação Universidade Federal do ABC;43.876.064,19;43.253.317,39;29.701.043,33;2.689.057,28
jul/25;26000 - Ministério da Educação;26275 - Fundação Universidade Federal do Acre;16.353.210,91;42.455.066,11;53.414.658,45;1.347.248,69
jan/25;26000 - Ministério da Educação;26275 - Fundação Universidade Federal do Acre;386.351.719,16;32.529.867,18;738.498,61;35.089.289,45
mar/25;26000 - Ministério da Educação;26275 - Fundação Universidade Federal do Acre;5.880.712,11;36.340.429,36;34.655.651,97;2.024.191,96
mai/25;26000 - Ministério da Educação;26275 - Fundação Universidade Federal do Acre;24.574.946,12;37.432.669,44;45.391.678,06;1.998.084,60
ago/25;26000 - Ministério da Educação;26275 - Fundação Universidade Federal do Acre;13.357.937,98;35.526.237,46;39.975.108,72;456.999,63
fev/25;26000 - Ministério da Educação;26275 - Fundação Universidade Federal do Acre;5.996.545,79;33.043.261,16;30.301.475,85;5.960.604,93
abr/25;26000 - Ministério da Educação;26275 - Fundação Universidade Federal do Acre;6.136.944,39;48.299.400,20;36.038.851,81;3.924.995,54
jun/25;26000 - Ministério da Educação;26275 - Fundação Universidade Federal do Acre;43.938.191,33;50.485.281,01;39.349.691,26;1.795.206,19
mar/25;26000 - Ministério da Educação;26286 - Fundação Universidade Federal do Amapá;3.180.784,30;20.677.092,85;18.997.752,36;7.487.245,37
jan/25;26000 - Ministério da Educação;26286 - Fundação Universidade Federal do Amapá;221.287.027,10;18.432.481,75;60.706,56;18.463.746,18
mai/25;26000 - Ministério da Educação;26286 - Fundação Universidade Federal do Amapá;3.407.109,37;25.729.702,86;26.737.242,36;4.690.506,40
ago/25;26000 - Ministério da Educação;26286 - Fundação Universidade Federal do Amapá;6.094.722,79;23.356.007,68;23.498.231,83;1.365.472,84
jul/25;26000 - Ministério da Educação;26286 - Fundação Universidade Federal do Amapá;9.167.027,44;24.316.009,60;31.951.027,80;1.724.200,33
abr/25;26000 - Ministério da Educação;26286 - Fundação Universidade Federal do Amapá;6.297.812,01;27.311.790,37;21.990.293,60;3.488.294,11
fev/25;26000 - Ministério da Educação;26286 - Fundação Universidade Federal do Amapá;6.310.670,48;18.424.120,48;18.570.355,86;6.905.641,07
jun/25;26000 - Ministério da Educação;26286 - Fundação Universidade Federal do Amapá;12.641.481,34;32.199.257,73;27.808.067,30;4.942.658,63
fev/25;26000 - Ministério da Educação;26276 - Fundação Universidade Federal do Mato Grosso;9.438.408,30;76.081.065,93;68.630.355,00;19.473.250,97
jan/25;26000 - Ministério da Educação;26276 - Fundação Universidade Federal do Mato Grosso;919.566.869,85;75.316.687,84;13.352.739,40;101.430.110,29
ago/25;26000 - Ministério da Educação;26276 - Fundação Universidade Federal do Mato Grosso;8.440.750,74;90.250.804,26;77.564.679,69;765.490,49
jun/25;26000 - Ministério da Educação;26276 - Fundação Universidade Federal do Mato Grosso;19.924.813,03;122.489.423,59;94.932.954,86;1.179.910,10
mar/25;26000 - Ministério da Educação;26276 - Fundação Universidade Federal do Mato Grosso;6.609.298,31;78.172.311,00;77.467.894,12;3.063.522,67
mai/25;26000 - Ministério da Educação;26276 - Fundação Universidade Federal do Mato Grosso;7.806.436,51;88.277.236,70;101.306.323,64;2.704.846,38
jul/25;26000 - Ministério da Educação;26276 - Fundação Universidade Federal do Mato Grosso;8.010.914,57;91.465.913,21;119.745.356,23;1.641.350,89
abr/25;26000 - Ministério da Educação;26276 - Fundação Universidade Federal do Mato Grosso;10.782.699,37;111.416.053,19;86.666.150,90;2.963.878,42
mai/25;26000 - Ministério da Educação;26283 - Fundação Universidade Federal do Mato Grosso do Sul;9.077.333,28;92.324.379,66;116.346.126,71;3.607.880,70
jul/25;26000 - Ministério da Educação;26283 - Fundação Universidade Federal do Mato Grosso do Sul;34.424.946,15;100.064.708,22;133.433.238,42;2.307.776,97
abr/25;26000 - Ministério da Educação;26283 - Fundação Universidade Federal do Mato Grosso do Sul;15.623.805,17;116.438.644,58;82.245.963,56;10.104.556,99
jan/25;26000 - Ministério da Educação;26283 - Fundação Universidade Federal do Mato Grosso do Sul;897.755.480,41;77.891.631,02;3.062.542,55;83.143.798,15
jun/25;26000 - Ministério da Educação;26283 - Fundação Universidade Federal do Mato Grosso do Sul;25.609.671,20;133.952.505,24;97.992.147,05;2.307.167,08
ago/25;26000 - Ministério da Educação;26283 - Fundação Universidade Federal do Mato Grosso do Sul;22.227.515,47;94.975.410,10;95.335.182,01;2.430.296,75
fev/25;26000 - Ministério da Educação;26283 - Fundação Universidade Federal do Mato Grosso do Sul;13.165.592,32;82.655.165,61;84.604.662,71;6.776.965,33
mar/25;26000 - Ministério da Educação;26283 - Fundação Universidade Federal do Mato Grosso do Sul;12.892.612,76;81.573.284,50;80.171.973,11;4.085.206,47
mai/25;26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;6.429.966,14;36.890.425,99;43.527.939,64;2.323.109,78
jan/25;26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;386.986.097,22;33.725.596,32;37.998,48;35.093.298,35
mar/25;26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;3.948.999,32;32.019.996,92;32.656.339,78;2.405.816,09
abr/25;26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;27.347.074,97;46.760.462,81;32.904.092,69;1.247.857,54
jul/25;26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;8.093.306,99;46.894.441,94;50.908.603,87;506.269,17
fev/25;26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;3.803.068,44;33.052.277,03;32.338.296,27;7.956.589,75
jun/25;26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;28.317.795,14;51.144.817,48;40.665.880,97;744.771,68
ago/25;26000 - Ministério da Educação;26266 - Fundação Universidade Federal do Pampa;8.889.823,99;39.610.912,10;44.647.170,51;328.992,31
jan/25;26000 - Ministério da Educação;26279 - Fundação Universidade Federal do Piauí;166.304.250,58;68.219.588,04;217.197,32;87.911.605,04
ago/25;26000 - Ministério da Educação;26279 - Fundação Universidade Federal do Piauí;45.753.576,22;83.132.709,25;83.142.810,41;1.301.809,00
abr/25;26000 - Ministério da Educação;26279 - Fundação Universidade Federal do Piauí;97.085.699,77;102.123.101,84;71.863.761,05;3.459.233,32
mar/25;26000 - Ministério da Educação;26279 - Fundação Universidade Federal do Piauí;63.584.197,35;72.013.215,04;76.547.233,14;3.110.501,22
jun/25;26000 - Ministério da Educação;26279 - Fundação Universidade Federal do Piauí;60.822.513,05;108.474.216,28;89.258.656,36;1.277.477,91
fev/25;26000 - Ministério da Educação;26279 - Fundação Universidade Federal do Piauí;29.827.981,36;75.145.617,51;65.040.481,77;21.308.400,00
jul/25;26000 - Ministério da Educação;26279 - Fundação Universidade Federal do Piauí;17.528.524,61;88.465.162,11;112.063.227,71;1.590.830,72
mai/25;26000 - Ministério da Educação;26279 - Fundação Universidade Federal do Piauí;259.378.628,58;92.806.089,52;99.971.949,37;2.691.599,55
jun/25;26000 - Ministério da Educação;26251 - Fundação Universidade Federal do Tocantins;30.688.426,05;44.808.905,90;35.928.309,10;1.353.338,67
abr/25;26000 - Ministério da Educação;26251 - Fundação Universidade Federal do Tocantins;10.189.737,58;36.182.792,84;25.579.558,88;4.196.313,85
fev/25;26000 - Ministério da Educação;26251 - Fundação Universidade Federal do Tocantins;7.288.000,68;24.520.471,36;16.321.691,21;10.829.986,26
mai/25;26000 - Ministério da Educação;26251 - Fundação Universidade Federal do Tocantins;16.828.211,71;36.606.011,21;38.194.092,98;2.578.533,21
ago/25;26000 - Ministério da Educação;26251 - Fundação Universidade Federal do Tocantins;9.686.593,54;35.567.843,34;35.761.561,42;1.027.825,10
jan/25;26000 - Ministério da Educação;26251 - Fundação Universidade Federal do Tocantins;305.065.536,89;24.705.301,79;5.578.134,65;30.017.165,01
mar/25;26000 - Ministério da Educação;26251 - Fundação Universidade Federal do Tocantins;5.016.339,58;25.841.192,93;24.989.998,76;3.929.047,95
jul/25;26000 - Ministério da Educação;26251 - Fundação Universidade Federal do Tocantins;11.681.708,69;35.460.484,19;45.728.977,96;2.911.582,16
fev/25;26000 - Ministério da Educação;26230 - Fundação Universidade Federal do Vale do São Francisco;5.062.511,16;21.342.683,58;20.108.456,72;7.726.364,12
abr/25;26000 - Ministério da Educação;26230 - Fundação Universidade Federal do Vale do São Francisco;9.735.145,90;29.935.942,49;23.453.338,16;810.597,42
jun/25;26000 - Ministério da Educação;26230 - Fundação Universidade Federal do Vale do São Francisco;20.139.880,49;43.860.179,97;30.271.880,08;4.046.015,81
jan/25;26000 - Ministério da Educação;26230 - Fundação Universidade Federal do Vale do São Francisco;218.642.917,96;20.342.325,89;1.018.333,59;23.323.815,15
jul/25;26000 - Ministério da Educação;26230 - Fundação Universidade Federal do Vale do São Francisco;12.678.802,08;32.539.003,97;40.982.797,16;347.838,04
mai/25;26000 - Ministério da Educação;26230 - Fundação Universidade Federal do Vale do São Francisco;14.652.300,80;31.253.451,98;29.818.282,89;2.999.044,78
mar/25;26000 - Ministério da Educação;26230 - Fundação Universidade Federal do Vale do São Francisco;12.804.216,24;23.515.988,97;22.183.995,62;2.070.951,34
ago/25;26000 - Ministério da Educação;26230 - Fundação Universidade Federal do Vale do São Francisco;11.328.411,97;32.208.183,01;32.220.171,31;3.659.308,84
mai/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53902 - Fundo Constitucional de Financiamento do Centro-Oeste;0;543.833.155,14;543.833.155,14;0
abr/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53902 - Fundo Constitucional de Financiamento do Centro-Oeste;0;426.321.214,07;617.898.551,95;0
jun/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53902 - Fundo Constitucional de Financiamento do Centro-Oeste;0;385.432.464,54;385.432.464,54;0
mar/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53902 - Fundo Constitucional de Financiamento do Centro-Oeste;0;419.537.032,08;227.959.694,20;0
fev/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53902 - Fundo Constitucional de Financiamento do Centro-Oeste;0;637.065.639,60;637.065.639,60;0
ago/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53902 - Fundo Constitucional de Financiamento do Centro-Oeste;0;292.960.008,40;292.960.008,40;0
jan/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53902 - Fundo Constitucional de Financiamento do Centro-Oeste;5.496.623.842,00;216.886.921,65;216.886.921,65;257.867.519,35
jul/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53902 - Fundo Constitucional de Financiamento do Centro-Oeste;0;516.058.391,10;516.058.391,10;0
abr/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53903 - Fundo Constitucional de Financiamento do Nordeste;277.318.464,00;1.278.963.641,86;1.278.963.641,86;0
jun/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53903 - Fundo Constitucional de Financiamento do Nordeste;223.472.502,00;1.675.774.109,76;1.675.774.109,76;0
mar/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53903 - Fundo Constitucional de Financiamento do Nordeste;0;1.258.611.096,10;1.258.611.096,10;0
mai/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53903 - Fundo Constitucional de Financiamento do Nordeste;0;1.631.499.465,60;1.631.499.465,60;0
jul/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53903 - Fundo Constitucional de Financiamento do Nordeste;0;1.028.698.456,64;1.028.698.456,64;0
fev/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53903 - Fundo Constitucional de Financiamento do Nordeste;0;1.911.196.918,72;1.911.196.918,72;0
ago/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53903 - Fundo Constitucional de Financiamento do Nordeste;0;878.880.025,56;878.880.025,56;0
jan/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53903 - Fundo Constitucional de Financiamento do Nordeste;16.489.871.522,00;859.262.764,14;859.262.764,14;565.000.558,26
fev/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53901 - Fundo Constitucional de Financiamento do Norte;0;637.065.639,60;637.065.639,60;0
jan/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53901 - Fundo Constitucional de Financiamento do Norte;5.496.623.842,00;286.420.921,52;286.420.921,52;473.573.113,11
jul/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53901 - Fundo Constitucional de Financiamento do Norte;0;450.419.402,69;342.899.485,55;0
mai/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53901 - Fundo Constitucional de Financiamento do Norte;0;543.833.155,14;543.833.155,14;0
mar/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53901 - Fundo Constitucional de Financiamento do Norte;0;419.537.032,08;419.537.032,08;0
abr/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53901 - Fundo Constitucional de Financiamento do Norte;0;426.321.214,07;426.321.214,07;0
jun/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53901 - Fundo Constitucional de Financiamento do Norte;0;558.591.370,09;558.591.370,09;0
ago/25;53000 - Ministério da Integração e do Desenvolvimento Regional;53901 - Fundo Constitucional de Financiamento do Norte;0;292.960.008,40;292.960.008,40;0
fev/25;25000 - Ministério da Fazenda;25915 - Fundo Constitucional do Distrito Federal;2.234.067.899,61;2.021.511.671,06;1.781.233.235,05;119.722.709,27
jun/25;25000 - Ministério da Fazenda;25915 - Fundo Constitucional do Distrito Federal;2.159.707.671,39;2.221.838.341,37;1.999.703.449,14;29.532.607,49
jul/25;25000 - Ministério da Fazenda;25915 - Fundo Constitucional do Distrito Federal;1.984.761.143,78;2.073.274.112,43;2.292.087.159,30;11.190.220,97
jan/25;25000 - Ministério da Fazenda;25915 - Fundo Constitucional do Distrito Federal;2.325.070.963,89;1.718.379.806,48;37.488.785,97;732.785.930,48
mai/25;25000 - Ministério da Fazenda;25915 - Fundo Constitucional do Distrito Federal;1.997.904.055,37;3.048.174.534,52;2.073.279.764,21;48.599.641,88
ago/25;25000 - Ministério da Fazenda;25915 - Fundo Constitucional do Distrito Federal;318.721.562,00;233.041.117,33;1.985.614.251,99;21.810.718,53
mar/25;25000 - Ministério da Fazenda;25915 - Fundo Constitucional do Distrito Federal;2.294.249.891,68;2.099.827.591,17;2.255.057.833,60;58.858.332,51
abr/25;25000 - Ministério da Fazenda;25915 - Fundo Constitucional do Distrito Federal;2.007.520.064,40;1.140.395.896,96;2.104.965.669,31;68.796.359,04
jan/25;68000 - Ministério de Portos e Aeroportos;49901 - Fundo da Marinha Mercante;63.315,70;32.904,94;32.904,94;85.454,19
abr/25;68000 - Ministério de Portos e Aeroportos;49901 - Fundo da Marinha Mercante;97.760.980,65;97.731.471,33;97.731.471,33;0
mar/25;68000 - Ministério de Portos e Aeroportos;49901 - Fundo da Marinha Mercante;121.000,00;99.056,83;99.134,68;0
jul/25;68000 - Ministério de Portos e Aeroportos;49901 - Fundo da Marinha Mercante;342.382.383,14;342.465.450,20;342.465.450,20;0
fev/25;68000 - Ministério de Portos e Aeroportos;49901 - Fundo da Marinha Mercante;0;27.471,73;27.393,88;77,65
jun/25;68000 - Ministério de Portos e Aeroportos;49901 - Fundo da Marinha Mercante;41.922.718,74;41.960.521,33;41.960.521,33;0
mai/25;68000 - Ministério de Portos e Aeroportos;49901 - Fundo da Marinha Mercante;117.884.309,03;117.132.190,79;117.132.190,79;0
ago/25;68000 - Ministério de Portos e Aeroportos;49901 - Fundo da Marinha Mercante;29.031.408,84;29.111.344,19;29.111.344,19;0
mai/25;40000 - Ministério do Trabalho e Emprego;38901 - Fundo de Amparo ao Trabalhador;11.905.298.754,95;11.905.302.131,80;11.905.304.278,91;22.033.538,48
mar/25;40000 - Ministério do Trabalho e Emprego;38901 - Fundo de Amparo ao Trabalhador;10.067.249.129,79;10.067.251.623,58;10.067.251.356,98;9.339.686,95
jan/25;40000 - Ministério do Trabalho e Emprego;38901 - Fundo de Amparo ao Trabalhador;4.752.555.846,54;4.752.495.846,54;4.752.495.846,54;2.750.381.846,27
ago/25;40000 - Ministério do Trabalho e Emprego;38901 - Fundo de Amparo ao Trabalhador;10.401.542.888,18;10.379.429.028,18;10.379.429.028,18;13.824.472,28
abr/25;40000 - Ministério do Trabalho e Emprego;38901 - Fundo de Amparo ao Trabalhador;12.042.796.151,35;12.042.828.360,12;12.042.826.479,61;36.157.885,28
jul/25;40000 - Ministério do Trabalho e Emprego;38901 - Fundo de Amparo ao Trabalhador;11.608.650.870,17;11.608.350.870,17;11.608.350.870,17;25.795.668,28
fev/25;40000 - Ministério do Trabalho e Emprego;38901 - Fundo de Amparo ao Trabalhador;10.907.067.972,32;10.907.074.305,93;10.907.074.305,93;105.963.639,57
jun/25;40000 - Ministério do Trabalho e Emprego;38901 - Fundo de Amparo ao Trabalhador;12.994.694.295,03;12.994.694.409,34;12.994.694.409,34;19.951.921,97
mai/25;25000 - Ministério da Fazenda;25901 - Fundo de Compensação de Variações Salariais;63.183.482,97;55.953.323,43;-7.608.693,57;81.829.073,59
abr/25;25000 - Ministério da Fazenda;25901 - Fundo de Compensação de Variações Salariais;85.159.464,69;85.159.464,69;85.159.464,69;0
jan/25;25000 - Ministério da Fazenda;25901 - Fundo de Compensação de Variações Salariais;33.492.301,44;32.069.145,90;32.069.145,90;21.665.310,43
fev/25;25000 - Ministério da Fazenda;25901 - Fundo de Compensação de Variações Salariais;21.409.406,50;21.403.393,46;21.403.393,46;6.013,04
mar/25;25000 - Ministério da Fazenda;25901 - Fundo de Compensação de Variações Salariais;23.237.968,93;22.840.965,12;22.840.965,12;12.297.991,99
jul/25;25000 - Ministério da Fazenda;25901 - Fundo de Compensação de Variações Salariais;89.090.225,51;89.090.225,51;89.090.225,51;5.776.940,00
fev/25;22000 - Ministério da Agricultura e Pecuária;22905 - Fundo de Defesa da Economia Cafeeira;0;0;0;116.730.593,00
mar/25;22000 - Ministério da Agricultura e Pecuária;22905 - Fundo de Defesa da Economia Cafeeira;55.000,00;0;0;23.630.968,55
jul/25;22000 - Ministério da Agricultura e Pecuária;22905 - Fundo de Defesa da Economia Cafeeira;3.426,27;3.426,27;3.426,27;0
mai/25;22000 - Ministério da Agricultura e Pecuária;22905 - Fundo de Defesa da Economia Cafeeira;11.017,68;57.393,38;57.393,38;9.809.512,45
abr/25;22000 - Ministério da Agricultura e Pecuária;22905 - Fundo de Defesa da Economia Cafeeira;48.770,42;48.770,42;48.770,42;19.948.276,00
jan/25;22000 - Ministério da Agricultura e Pecuária;22905 - Fundo de Defesa da Economia Cafeeira;0;0;0;1.106.687.557,68
ago/25;22000 - Ministério da Agricultura e Pecuária;22905 - Fundo de Defesa da Economia Cafeeira;7.187.953.761,03;29.157,39;29.157,39;0
jun/25;22000 - Ministério da Agricultura e Pecuária;22905 - Fundo de Defesa da Economia Cafeeira;29.726,76;38.351,06;38.351,06;23.697.572,52
abr/25;30000 - Ministério da Justiça e Segurança Pública;30905 - Fundo de Defesa de Direitos Difusos;8.751.405,41;0;0;29.503,20
mar/25;30000 - Ministério da Justiça e Segurança Pública;30905 - Fundo de Defesa de Direitos Difusos;0;0;0;24.184,44
fev/25;30000 - Ministério da Justiça e Segurança Pública;30905 - Fundo de Defesa de Direitos Difusos;250;250;250;162.222,76
jun/25;30000 - Ministério da Justiça e Segurança Pública;30905 - Fundo de Defesa de Direitos Difusos;2.149.170,86;0;0;259.100,00
mai/25;30000 - Ministério da Justiça e Segurança Pública;30905 - Fundo de Defesa de Direitos Difusos;11.683.811,21;0;0;70.476,80
ago/25;30000 - Ministério da Justiça e Segurança Pública;30905 - Fundo de Defesa de Direitos Difusos;592.030,18;8.616.489,17;8.616.489,17;721.847,31
jul/25;30000 - Ministério da Justiça e Segurança Pública;30905 - Fundo de Defesa de Direitos Difusos;0;6.810.682,34;6.810.682,34;9.370,00
jan/25;30000 - Ministério da Justiça e Segurança Pública;30905 - Fundo de Defesa de Direitos Difusos;0;0;0;100.496,87
mai/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74917 - Fundo de Desenvolvimento da Amazônia;0;0;0;169.716.203,86
fev/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74917 - Fundo de Desenvolvimento da Amazônia;0;0;0;108.669.320,51
jul/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74919 - Fundo de Desenvolvimento do Centro-Oeste;0;0;0;211.645.654,10
abr/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74919 - Fundo de Desenvolvimento do Centro-Oeste;0;0;0;36.763.817,31
mai/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74919 - Fundo de Desenvolvimento do Centro-Oeste;0;0;0;156.579.622,44
mar/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74919 - Fundo de Desenvolvimento do Centro-Oeste;0;0;0;410.024.279,88
jun/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74919 - Fundo de Desenvolvimento do Centro-Oeste;0;0;0;13.692.724,07
abr/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74918 - Fundo de Desenvolvimento do Nordeste;0;0;0;111.254.706,50
jul/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74918 - Fundo de Desenvolvimento do Nordeste;1.431.602.257,71;614.954.716,71;614.954.716,71;600.000,00
jun/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74918 - Fundo de Desenvolvimento do Nordeste;0;0;0;18.360.167,97
ago/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74918 - Fundo de Desenvolvimento do Nordeste;18.045.283,29;834.692.824,29;834.692.824,29;38.316.165,00
fev/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74918 - Fundo de Desenvolvimento do Nordeste;0;0;0;63.889.583,86
jan/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74918 - Fundo de Desenvolvimento do Nordeste;0;0;0;672.498.392,22
mai/25;53000 - Ministério da Integração e do Desenvolvimento Regional;74918 - Fundo de Desenvolvimento do Nordeste;17.422.508,63;4.786.795,06;4.786.795,06;3.830.665,76
fev/25;25000 - Ministério da Fazenda;25904 - Fundo de Estabilidade do Seguro Rural;0;163.973,09;163.973,09;0
jan/25;25000 - Ministério da Fazenda;25904 - Fundo de Estabilidade do Seguro Rural;173.445,11;170.119,32;9.472,02;0
ago/25;25000 - Ministério da Fazenda;25904 - Fundo de Estabilidade do Seguro Rural;22.636,29;3.292,61;22.636,29;0
abr/25;25000 - Ministério da Fazenda;25904 - Fundo de Estabilidade do Seguro Rural;163.951,09;163.954,85;163.954,85;0
mar/25;25000 - Ministério da Fazenda;25904 - Fundo de Estabilidade do Seguro Rural;327.913,42;163.958,57;163.958,57;0
jun/25;25000 - Ministério da Fazenda;25904 - Fundo de Estabilidade do Seguro Rural;14.000,00;36.643,76;36.643,76;0
jul/25;25000 - Ministério da Fazenda;25904 - Fundo de Estabilidade do Seguro Rural;15.846.166,23;15.865.509,91;15.846.166,23;0
mai/25;25000 - Ministério da Fazenda;25904 - Fundo de Estabilidade do Seguro Rural;22.643,76;3.303,79;163.951,09;0
jan/25;25000 - Ministério da Fazenda;25914 - Fundo de Garantia à Exportação;7.993.751,66;0;0;5.087.749,04
ago/25;25000 - Ministério da Fazenda;25914 - Fundo de Garantia à Exportação;28.822.000,00;28.688.894,99;28.688.894,99;0
mai/25;25000 - Ministério da Fazenda;25914 - Fundo de Garantia à Exportação;10.668.527,89;105.977.028,93;10.809.918,14;209.276,99
abr/25;25000 - Ministério da Fazenda;25914 - Fundo de Garantia à Exportação;102.953.054,13;102.594.508,68;102.594.508,68;319.268,64
mar/25;25000 - Ministério da Fazenda;25914 - Fundo de Garantia à Exportação;42.558.665,77;43.783.784,28;43.783.784,28;415.928,79
jun/25;25000 - Ministério da Fazenda;25914 - Fundo de Garantia à Exportação;127.056.578,62;31.517.336,34;126.684.447,13;171.978,32
jul/25;25000 - Ministério da Fazenda;25914 - Fundo de Garantia à Exportação;13.945.000,00;13.924.344,08;13.924.344,08;92.607,16
fev/25;25000 - Ministério da Fazenda;25914 - Fundo de Garantia à Exportação;32.144.094,24;37.161.953,51;37.161.953,51;4.367.143,29
fev/25;20000 - Presidência da República;20116 - Fundo de Imprensa Nacional;4.213.981,31;1.208.406,75;1.048.887,17;3.103.521,51
jan/25;20000 - Presidência da República;20116 - Fundo de Imprensa Nacional;3.752.738,76;860.118,78;239.707,90;2.918.788,78
ago/25;20000 - Presidência da República;20116 - Fundo de Imprensa Nacional;4.186.994,49;3.181.422,18;3.588.276,38;21.234,80
mar/25;20000 - Presidência da República;20116 - Fundo de Imprensa Nacional;2.895.363,15;3.276.626,49;3.065.641,22;1.647.698,28
mai/25;20000 - Presidência da República;20116 - Fundo de Imprensa Nacional;3.897.101,63;4.532.394,30;4.615.385,13;573.874,07
jun/25;20000 - Presidência da República;20116 - Fundo de Imprensa Nacional;3.399.138,56;3.755.494,73;3.715.519,15;57.149,89
abr/25;20000 - Presidência da República;20116 - Fundo de Imprensa Nacional;7.020.596,54;3.784.860,42;3.713.741,19;346.546,32
jul/25;20000 - Presidência da República;20116 - Fundo de Imprensa Nacional;7.493.249,28;3.784.076,16;3.973.541,81;4.905,10
abr/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;49001 - Fundo de Terras;411.781.804,00;0;0;0
mai/25;49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar;49001 - Fundo de Terras;0;350.000.000,00;350.000.000,00;0
fev/25;41000 - Ministério das Comunicações;41232 - Fundo de Universalização dos Serviços de Telecomunicações;0;0;0;7.771.949,76
jan/25;52000 - Ministério da Defesa;52904 - Fundo do Exército;339.530.582,30;58.191.200,10;37.518.731,08;167.738.206,04
mai/25;52000 - Ministério da Defesa;52904 - Fundo do Exército;196.635.087,66;208.215.245,65;218.103.441,66;52.944.086,74
abr/25;52000 - Ministério da Defesa;52904 - Fundo do Exército;249.900.606,80;190.081.322,86;172.983.707,73;51.572.466,18
fev/25;52000 - Ministério da Defesa;52904 - Fundo do Exército;243.054.297,07;173.912.180,45;144.987.017,78;94.645.937,37
mar/25;52000 - Ministério da Defesa;52904 - Fundo do Exército;215.709.767,33;173.499.284,83;181.069.055,86;40.035.214,28
jun/25;52000 - Ministério da Defesa;52904 - Fundo do Exército;337.190.124,79;198.308.502,99;199.478.049,14;15.592.823,29
jul/25;52000 - Ministério da Defesa;52904 - Fundo do Exército;296.927.960,34;284.167.158,25;278.034.549,03;55.789.201,63
ago/25;52000 - Ministério da Defesa;52904 - Fundo do Exército;213.152.848,10;214.061.737,53;205.106.563,98;25.068.806,56
jan/25;33000 - Ministério da Previdência Social;37904 - Fundo do Regime Geral da Previdência Social;211.429.065.102,40;74.122.858.739,83;16.471.883.690,96;55.386.528.921,18
fev/25;33000 - Ministério da Previdência Social;37904 - Fundo do Regime Geral da Previdência Social;2.008.500.000,00;75.524.365.637,14;74.651.165.981,87;1.307.991.603,65
jul/25;33000 - Ministério da Previdência Social;37904 - Fundo do Regime Geral da Previdência Social;70.896.209.323,81;76.217.987.037,62;77.040.374.565,27;0
abr/25;33000 - Ministério da Previdência Social;37904 - Fundo do Regime Geral da Previdência Social;19.684.243.720,74;110.893.395.157,14;84.831.174.270,38;15.720.596,68
mar/25;33000 - Ministério da Previdência Social;37904 - Fundo do Regime Geral da Previdência Social;164.850.219.250,00;75.611.936.401,08;75.713.003.252,16;58.933.502,03
ago/25;33000 - Ministério da Previdência Social;37904 - Fundo do Regime Geral da Previdência Social;21.016.752.629,00;20.585.183.538,85;73.423.633.723,38;0
