Mês Ano;Órgão Superior;Órgão/Entidade Vinculada;Valor Empenhado;Valor Liquidado;Valor Pago;Valor Restos a Pagar Pagos
fev/25;32000 - Ministério de Minas e Energia;32396 - Agência Nacional de Mineração;5.319.677,58;53.988.173,03;51.979.641,41;118.840.079,56
abr/25;32000 - Ministério de Minas e Energia;32396 - Agência Nacional de Mineração;21.865.171,18;533.501.773,26;507.146.217,50;708.940,79
ago/25;32000 - Ministério de Minas e Energia;32396 - Agência Nacional de Mineração;24.166.920,31;523.208.826,37;529.166.615,18;376.891,59
jun/25;32000 - Ministério de Minas e Energia;32396 - Agência Nacional de Mineração;13.014.551,40;496.577.743,06;488.563.078,69;1.320.206,82
mai/25;32000 - Ministério de Minas e Energia;32396 - Agência Nacional de Mineração;3.593.244,05;561.032.669,58;575.233.301,30;565.741,90
fev/25;36000 - Ministério da Saúde;36213 - Agência Nacional de Saúde Suplementar;5.656.473,43;19.595.832,24;16.483.331,15;8.341.341,50
jun/25;36000 - Ministério da Saúde;36213 - Agência Nacional de Saúde Suplementar;8.638.977,99;27.963.596,84;26.745.859,03;5.964,87
mar/25;36000 - Ministério da Saúde;36213 - Agência Nacional de Saúde Suplementar;7.300.780,45;24.423.274,88;23.182.016,27;997.758,52
abr/25;36000 - Ministério da Saúde;36213 - Agência Nacional de Saúde Suplementar;8.398.260,34;33.540.765,57;22.991.300,86;419.057,08
ago/25;36000 - Ministério da Saúde;36213 - Agência Nacional de Saúde Suplementar;5.469.283,39;26.747.829,74;27.611.421,76;88.959,88
jul/25;36000 - Ministério da Saúde;36213 - Agência Nacional de Saúde Suplementar;7.022.495,41;28.474.679,97;31.758.228,81;8.787,73
mai/25;36000 - Ministério da Saúde;36213 - Agência Nacional de Saúde Suplementar;9.093.373,32;28.993.970,83;33.052.348,19;83.006,85
jan/25;36000 - Ministério da Saúde;36213 - Agência Nacional de Saúde Suplementar;227.990.003,47;17.401.986,69;133.562,09;23.942.273,09
fev/25;68000 - Ministério de Portos e Aeroportos;68201 - Agência Nacional de Transportes Aquaviários;5.275.055,02;12.420.637,68;10.217.537,14;3.566.468,83
mar/25;68000 - Ministério de Portos e Aeroportos;68201 - Agência Nacional de Transportes Aquaviários;8.883.682,14;12.978.503,19;12.527.827,86;646.869,61
